"Localized Magento Editions","Edizioni Localizzate di Magento"
"Partners - Localized Magento Editions","Partner - Edizioni Localizzate di Magento"
"Dashboard - Localized Magento Editions","Dashboard - Edizioni Localizzate di Magento"
"Suggestions - Localized Magento Editions","Suggerimenti - Edizioni Localizzate di Magento"
"Partners","Partner"
"Dashboard","Dashboard"
"Suggestions","Suggerimenti"
"Please enter your data:","Inserisci i tuoi dati:"
"Shop Data","Dati negozio"
"Magento was prepared successfully. Please log out and log in again in order to access the newly installed modules.","Magento è stato configurato con successo. Fai logout e login per avere accesso ai nuovi moduli installati."
"Your data was saved successfully.","I tuoi dati sono stati salvati con successo."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Dopo aver completato l'ordine, effettua il pagamento presso: %s, Conto %s, BIC %s, %s (IBAN %s, SWIFT %s)"
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s","Dopo aver completato l'ordine, effettua il pagamento presso: %s, Conto %s, BIC %s, %s"
"PayPal Merchant Account Email Address","Indirizzo email del tuo account PayPal Merchant"
"Store Languages","Traduzioni del negozio"
"Create Additional Store Languages","Crea nuove traduzioni del negozio"
"German","Tedesco"
"English","Inglese"
"French","Francese"
"Italian","Italiano"
"Russian","Russo"
"%s language will be created automatically.","La traduzione in %s sarà creata automaticamente."
"Default Category","Categoria di default"
"Display Logo in Header","Visualizza il logo nell'intestazione"
"Display Entry in Menu","Visualizza la voce nel menu"
"Display Block in Dashboard","Visualizza il contenuto nella dashboard"
"optional","opzionale"
"Dashboard","Dashboard"
"Partners","Partner"
"Recommendations","Suggerimenti"
"Integrated Modules","Moduli integrati"
"Install the following modules:","Installa i moduli seguenti:"
"Click for more information in a new window","Clicca per maggiori dettagli in una nuova finestra"
"Don't install additional modules","Non installare moduli aggiuntivi"
"Install default modules","Installa i moduli di default"
"Choose which modules you want to install (Advanced Mode)","Seleziona quali moduli installare (modalità avanzata)"
"Successfully updated module %s.","Modulo %s aggiornato con successo."

"Help to improve %s - data transfer","Aiutaci a migliorare %s - trasferimento dati"

"The Localized Magento Editions (LME) are a project by the Community for the Community. The editions were created to make the start into Magento as simple as possible. The project was initiated by the Netresearch App Factory. With integer_net there are experienced and dedicated developers for the lead of implementationin the team, who have integrated the most important and best exensions together with the Community.","Le edizioni localizzate di Magento (%s) sono un progetto della community per la community. Le edizioni %s sono state create per facilitare l'accesso a Magento e renderlo il più semplice possibile. Il progetto è stato avviato dalla Netresearch App Factory e, insieme con integer_net e a esperti sviluppatori dedicati a questo progetto, hanno integrato i moduli migliori e più importanti della community."
"To track the distribution of the Localized Magento Editions, the system transmits requests with an identifier of the partner, through whom you purchased the system. You can find the responsible file under %s. It will not involve the collection of any user-related data.","Per tracciare la distribuzione delle edizioni localizzate di Magento (%s), il sistema trasmette le richieste con un identificatore del partner, attraverso il quale è stato acquistato il sistema. È possibile trovare questo file in %s. Non viene raccolto nessun dato relativo agli utenti."
"With your consent, the transmission of usage and contact information by the Edition you can help developers and community partners actively to track the distribution of the Localized Magento Editions to develop the installation furhter and to continually improve it. Thus you and other merchants benefit from a current and attractive system and from the regular adjustments.","Con il consenso alla trasmissione di informazioni sull’uso e dei dati di contatto, si possono aiutare gli sviluppatori e i partner della comunità attivamente coinvolti a monitorare la distribuzione delle edizioni localizzate di Magento (%s), a incentivarne l'installazione e a migliorare continuamente il progetto. In questo modo voi e altri merchant potrete beneficiare di un progetto aggiornato e competitivo e continuamente migliorato."
"Of course, you can decide yourself which amount of data for transmission you want to allow to be sent how much you want to support the further developement. The project is generally only interested in information about the use of the installation and if necessary in contact details from your official imprint. There will not be any further collection of data.","Naturalmente, ognuno può decidere quali e quanti dati vengono trasmessi e quanto vuole sostenere lo sviluppo del progetto.  Per il progetto sono in genere interessanti solo dati sull'uso dello stesso e, se necessario, i vostri contatti ufficiali. Non ci sarà nessuna ulteriore raccolta di dati."
"Thanks in advance for your help.","Grazie in anticipo per il vostro aiuto."
"I don't want any further transfer of data.","Non voglio ulteriore trasferimento di dati."
"See data of the transmission","Vedere la trasmissione dei dati"
"I help to observe the distribution of the Localized Magento Editions and want to benefit from the exclusive offerings of NR App Factory & your partners.","Voglio aiutare a diffondere la distribuzione delle edizioni localizzate Magento (%s) e voglio beneficiare delle esclusive offerte di NR App Factory & dei loro partner."
"This could be your exclusive offers","Offerte esclusive."
"Offers could be for example:","Le offerte possono essere ad esempio:"
"Special conditions when purchasing extensions or services from the NAF store nr.apps.com","Condizioni speciali quando si acquistano estensioni o servizi dal NAF Store nr.apps.com"
"Purchase options and special conditions for Magento event tickes, e.g. Meet Magento or Developers Paradise","Opzioni d'acquisto e condizioni speciali per biglietti di eventi Magento, come ad es. Meet Magento o Developer Paradise"
"Purchase options and special conditions for Magento education tickets, e.g. NR Campus","Opzioni d'acquisto e condizioni speciali per biglietti di corsi Magento, come ad es. NR Campus"
"Showing your shop name and a link to your domain on nr-apps.com","Mostrare il nome del tuo negozio e un link al tuo sito su nr-apps.com"
"and many more","e molto altro"
"For your personal offers and information about %s, please see the newsfeed of your system.","Per le tue offerte personali e per maggiori informazioni su %s controlla il tuo newsfeed."
"I hereby agree that contact information are transmitted to verify the reach of the Localized Magento Editions and actively support the project.","Acconsento che le informazioni di contatto vengano trasmesse per verificare la portata delle edizioni localizzate Magento (%s) e per sostenere attivamente il progetto."
"Server IP","Server-IP"
"Transfer date","data di trasferimento"
"Magento version","Versione Magento"
"Contact information: Store name, company, address, postal code, city, country, telephone, fax, email, website, CEO, owner","Dati di contatto: nome negozio, azienda, indirizzo, codice postale, città, paese, telefono, fax, email, sito web, CEO, titolare"
"For more information about privacy, click <a href=""%s"" target=""_blank"">here</a>.","Per ulteriori informazioni sulla privacy, <a href=""%s"" target=""_blank"">clicca qui</a>"

"News cannot be displayed at the moment. Please try again later.","Le notizie non possono essere mostrate al momento. Sei pregato di riprovare più tardi."
"Store ""%s"" already exists.","Il negozio ""%s"" esiste già."

"FireGento German Setup","FireGento German Setup"
"Extension Setup","Setup estensione"
"Tax Settings","Configurazioni tassazione"
"Checkout Agreements","Condizioni d'acquisto"

"FireGento PDF","PDF FireGento"

"Autoshipping","Autoshipping"

"Cash On Delivery","Contrassegno"

"Debit","Debit"
"Bank Data Setup","Bank Data Setup"

"Remove Customer Account Links","Rimuovi i link agli account dei clienti"

"Configuration","Configurazione"

"Display Copyright Notice in Imprint","Mostra il Copyright nelle informazioni del negozio"
"<a href=""%s"" target=""_blank"">%s</a> is a project of the Magento community","<a href=""%s"" target=""_blank"">%s</a> è un progetto della community di Magento"
"powered by","powered by"

"Phoenix_CashOnDelivery::You will be charged an extra fee of %s.","Sarai soggetto ad un costo extra pari a %s."

"This could take a little while","Questo potrà richiedere un po' di tempo"
"Country Selection","Selezione nazione"
"Please go to Backend now in order to complete the preconfiguration.","Vai ora nel backend per completare la pre-configurazione."

"Next Page","Pagina successiva"
"Previous Page","Pagina precedente"
"Setup %s","Setup %s"
"%s Setup","%s Setup"
"Page %s of %s","Pagina %s di %s"
"Languages, Modules, Datatransfer","Traduzioni, Moduli, Trasferimento dati"
"Modules, Datatransfer","Moduli, Trasferimento dati"

"An error occured. Please provide write access to the whole Magento directory and all subdirectories.","Si è verificato un errore. Devi dare i permessi di scrittura a tutta la directory di Magento e sottodirectory."

"Please note:","Attenzione:"
"By clicking on the button ""Continue"" you will start the installation of the Localized Magento Edition %s. This process runs in the background.","Per avviare l'installazione dell’edizione localizzata di Magento clicca sul pulsante "continua". L'installazione viene eseguita in background."
"Please be patient. The installation may take up to 5 minutes.","Si prega di attendere, questo processo potrà richiedere fino a 5 minuti."
"Please keep your browser open. DO NOT RELOAD the page before completion of the process.","Si prega di lasciare il browser aperto e di NON riavviare il computer."

"Please fill in your details on the company as fully as possible.","Ti chiediamo cortesemente di compilare i dati sulla tua società nel modo più completo possibile."
"You may need this for the general information requirements, terms and conditions, revocation rules or some payment methods.","Questi dati sono necessari per le informazioni generali, per i termini e condizioni, per le regole di reso o alcuni metodi di pagamento."
"You can edit or complete all data at any time. You will reach this details over","In qualsiasi momento è possibile modificare o completare tali informazioni. È possibile trovare i dettagli tramite il menu"
"%s &gt; Configuration","%s &gt; Configurazione"
"System &gt; Configuration &gt; General: Imprint","Sistema &gt; Configurazione &gt; Generale: Informazioni negozio"
"Support Center","Assistenza"